pro_com_t,mvt_id,cc_uts,cod_cm,cod_prov,cod_reg,cod_rip,cod_uts,comune,comune_a,den_cm,den_prov,den_reg,den_rip,den_uts,ontopia,pkuid,pro_com,shape_area,shape_leng,sigla,tipo_uts,temp_media_c,precip_media_mm,def_media_mm
081001,,0,0,81,19,5,81,Alcamo,,-,Trapani,Sicilia,Isole,Trapani,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/081001,6519,81001,130971775.312,54302.8651854,TP,Libero consorzio di comuni,17.68887061403509,507.81911764705876,745.3990712074302
081002,,0,0,81,19,5,81,Buseto Palizzolo,,-,Trapani,Sicilia,Isole,Trapani,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/081002,6520,81002,73114744.1401,41712.4864123,TP,Libero consorzio di comuni,17.144285593792173,530.1523279352225,712.0035425101215
081003,,0,0,81,19,5,81,Calatafimi-Segesta,,-,Trapani,Sicilia,Isole,Trapani,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/081003,6521,81003,154632778.334,60545.8454964,TP,Libero consorzio di comuni,17.2264750417711,522.5355889724311,719.3245614035088
081004,,0,0,81,19,5,81,Campobello di Mazara,,-,Trapani,Sicilia,Isole,Trapani,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/081004,6522,81004,65827099.0185,35920.7062226,TP,Libero consorzio di comuni,18.246466307814995,484.9942583732058,751.9773923444976
081005,,0,0,81,19,5,81,Castellammare del Golfo,,-,Trapani,Sicilia,Isole,Trapani,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/081005,6523,81005,126665189.943,61414.915486,TP,Libero consorzio di comuni,17.07813870614035,529.0006578947368,704.3079769736842
081006,,0,0,81,19,5,81,Castelvetrano,,-,Trapani,Sicilia,Isole,Trapani,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/081006,6524,81006,207720127.755,78232.7077038,TP,Libero consorzio di comuni,18.04212909992372,460.9253157894737,696.4592105263159
081007,,0,0,81,19,5,81,Custonaci,,-,Trapani,Sicilia,Isole,Trapani,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/081007,6525,81007,70673596.9824,43826.3398524,TP,Libero consorzio di comuni,17.131279520917673,528.0306680161943,700.1917004048584
081008,,0,0,81,19,5,81,Erice,,-,Trapani,Sicilia,Isole,Trapani,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/081008,6526,81008,47910849.9486,51392.0878405,TP,Libero consorzio di comuni,17.651091507177032,471.47763157894724,662.0672149122807
081009,,0,0,81,19,5,81,Favignana,,-,Trapani,Sicilia,Isole,Trapani,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/081009,6527,81009,38674001.973,59147.069534,TP,Libero consorzio di comuni,17.435117623604473,342.04967105263154,449.6892269736843
081010,,0,0,81,19,5,81,Gibellina,,-,Trapani,Sicilia,Isole,Trapani,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/081010,6528,81010,46592097.1678,40993.9294786,TP,Libero consorzio di comuni,17.182351973684217,522.6961842105263,721.2076315789474
081011,,0,0,81,19,5,81,Marsala,,-,Trapani,Sicilia,Isole,Trapani,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/081011,6529,81011,243627980.927,120618.016171,TP,Libero consorzio di comuni,18.024361685463656,498.7604793233083,737.0805921052631
081012,,0,0,81,19,5,81,Mazara del Vallo,,-,Trapani,Sicilia,Isole,Trapani,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/081012,6530,81012,275112342.816,93271.4025876,TP,Libero consorzio di comuni,18.07268823099415,498.8568421052632,745.3865350877193
081013,,0,0,81,19,5,81,Paceco,,-,Trapani,Sicilia,Isole,Trapani,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/081013,6531,81013,57837277.4424,51699.1640844,TP,Libero consorzio di comuni,18.021037679425838,503.31818181818176,741.4285885167466
081014,,0,0,81,19,5,81,Pantelleria,,-,Trapani,Sicilia,Isole,Trapani,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/081014,6532,81014,84257352.6922,37609.9002534,TP,Libero consorzio di comuni,18.282127192982454,420.5146761133602,735.813157894737
081015,,0,0,81,19,5,81,Partanna,,-,Trapani,Sicilia,Isole,Trapani,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/081015,6533,81015,82466985.3867,44049.293686,TP,Libero consorzio di comuni,17.349255299707597,523.5464912280702,730.398355263158
081016,,0,0,81,19,5,81,Poggioreale,,-,Trapani,Sicilia,Isole,Trapani,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/081016,6534,81016,37808575.2487,31862.7347496,TP,Libero consorzio di comuni,17.416337719298244,514.9296052631581,731.8267543859648
