id_istat,comune,provincia,sigla_prov,temp_media_c,precip_media_mm,deficit_media_mm,temp_trend_c_decade,precip_trend_mm_decade,temp_trend_pvalue,precip_trend_pvalue,temp_trend_sig,precip_trend_sig,deficit_trend_mm_decade,deficit_trend_pvalue,deficit_trend_sig,anomalia_estate_zscore,anomalia_estate_trend_zscore_decade,anomalia_estate_trend_pvalue,anomalia_estate_trend_sig,pdsi_media,incendi_area_ha_media_annua,incendi_count_media_annua,pdsi_trend_decade,incendi_area_trend_ha_decade,incendi_count_trend_decade,incendi_area_ha_totale_2007_2024,incendi_count_totale_2007_2024
081001,Alcamo,Trapani,TP,17.68887061403509,507.81911764705876,745.3990712074302,0.311,-3.6,0.0,0.546,True,False,20.8,0.0016,True,0.0,0.414,0.0,True,-0.83,71.56,2.11,-0.75,-125.8,2.0,1288.15,38
081002,Buseto Palizzolo,Trapani,TP,17.144285593792173,530.1523279352225,712.0035425101215,0.297,-5.6,0.0,0.3669,True,False,21.2,0.0006,True,0.0,0.397,0.0,True,-1.0,192.41,2.22,-1.046,3569.5,19.2,3463.31,40
081003,Calatafimi-Segesta,Trapani,TP,17.2264750417711,522.5355889724311,719.3245614035088,0.301,-4.8,0.0,0.4319,True,False,20.3,0.0012,True,0.0,0.401,0.0,True,-0.89,163.54,7.61,-0.881,1933.9,70.8,2943.65,137
081004,Campobello di Mazara,Trapani,TP,18.246466307814995,484.9942583732058,751.9773923444976,0.18,-9.8,0.0,0.0752,True,False,13.2,0.0091,True,0.0,0.202,0.0,True,-0.58,1.63,0.11,-1.213,43.6,3.1,29.35,2
081005,Castellammare del Golfo,Trapani,TP,17.07813870614035,529.0006578947368,704.3079769736842,0.306,-4.7,0.0,0.4468,True,False,21.5,0.0007,True,0.0,0.41,0.0,True,-0.99,412.88,9.22,-0.965,2072.1,38.3,7431.79,166
081006,Castelvetrano,Trapani,TP,18.04212909992372,460.9253157894737,696.4592105263159,0.218,-8.3,0.0,0.1506,True,False,15.7,0.0046,True,0.0,0.266,0.0,True,-0.58,87.09,6.17,-1.166,1063.7,40.6,1567.56,111
081007,Custonaci,Trapani,TP,17.131279520917673,528.0306680161943,700.1917004048584,0.284,-6.4,0.0,0.2923,True,False,21.3,0.0004,True,0.0,0.38,0.0,True,-0.99,682.09,4.17,-1.052,5056.1,25.6,12277.6,75
081008,Erice,Trapani,TP,17.651091507177032,471.47763157894724,662.0672149122807,0.267,-7.7,0.0,0.1888,True,False,21.1,0.0003,True,0.0,0.354,0.0,True,-0.97,118.51,2.06,-1.025,449.7,-5.7,2133.22,37
081009,Favignana,Trapani,TP,17.435117623604473,342.04967105263154,449.6892269736843,0.169,-14.8,0.0,0.0084,True,True,15.7,0.001,True,0.0,0.21,0.0,True,-1.14,0.25,0.17,-0.698,0.4,1.8,4.58,3
081010,Gibellina,Trapani,TP,17.182351973684217,522.6961842105263,721.2076315789474,0.289,-5.3,0.0,0.3899,True,False,19.1,0.0021,True,0.0,0.384,0.0,True,-0.8,52.7,4.83,-0.84,266.2,22.8,948.63,87
081011,Marsala,Trapani,TP,18.024361685463656,498.7604793233083,737.0805921052631,0.232,-9.9,0.0,0.0794,True,False,18.4,0.0007,True,0.0,0.297,0.0,True,-0.95,26.94,1.39,-0.878,594.0,17.8,484.87,25
081012,Mazara del Vallo,Trapani,TP,18.07268823099415,498.8568421052632,745.3865350877193,0.221,-9.3,0.0,0.1038,True,False,16.3,0.0024,True,0.0,0.274,0.0,True,-0.77,29.9,1.28,-1.028,357.2,13.5,538.1800000000001,23
081013,Paceco,Trapani,TP,18.021037679425838,503.31818181818176,741.4285885167466,0.26,-8.2,0.0,0.1531,True,False,20.7,0.0003,True,0.0,0.341,0.0,True,-0.94,0.41,0.11,-0.993,14.0,0.9,7.3100000000000005,2
081014,Pantelleria,Trapani,TP,18.282127192982454,420.5146761133602,735.813157894737,0.146,-8.8,0.0,0.1216,True,False,7.3,0.1068,False,0.0,0.152,0.0,True,-1.3,55.24,3.39,-1.974,-38.0,-24.8,994.33,61
081015,Partanna,Trapani,TP,17.349255299707597,523.5464912280702,730.398355263158,0.261,-6.8,0.0,0.2683,True,False,17.8,0.0027,True,0.0,0.338,0.0,True,-0.71,4.31,1.0,-0.962,55.4,16.3,77.54,18
081016,Poggioreale,Trapani,TP,17.416337719298244,514.9296052631581,731.8267543859648,0.287,-4.2,0.0,0.4904,True,False,17.6,0.0051,True,0.0,0.378,0.0,True,-0.62,116.06,3.11,-0.851,328.9,1.8,2089.09,56
081017,Salaparuta,Trapani,TP,17.257943469785577,520.3821637426901,723.5533625730993,0.282,-5.6,0.0,0.3676,True,False,18.7,0.0025,True,0.0,0.373,0.0,True,-0.74,31.62,1.83,-0.856,430.7,-0.5,569.23,33
081018,Salemi,Trapani,TP,17.324334954233414,525.6991990846682,724.7286041189931,0.279,-6.4,0.0,0.299,True,False,18.8,0.0014,True,0.0,0.368,0.0,True,-0.82,244.64,7.0,-0.981,2354.3,71.1,4403.53,126
081019,Santa Ninfa,Trapani,TP,17.294308213716103,524.4517942583732,726.6868421052632,0.274,-6.3,0.0,0.3056,True,False,18.5,0.002,True,0.0,0.361,0.0,True,-0.76,75.96,5.28,-0.932,536.9,11.1,1367.32,95
081020,San Vito Lo Capo,Trapani,TP,17.272264863547747,519.1061403508771,699.3973684210528,0.274,-6.8,0.0,0.2477,True,False,21.0,0.0003,True,0.0,0.368,0.0,True,-0.92,722.21,2.44,-1.084,7199.5,1.6,12999.83,44
081021,Trapani,Trapani,TP,17.690513157894735,514.8645789473684,731.2322105263157,0.271,-7.4,0.0,0.2133,True,False,20.3,0.0005,True,0.0,0.358,0.0,True,-0.92,69.27,1.33,-1.013,925.4,7.9,1246.78,24
081022,Valderice,Trapani,TP,17.592989309210523,517.3695723684211,724.9838815789473,0.273,-7.4,0.0,0.2143,True,False,21.3,0.0003,True,0.0,0.362,0.0,True,-0.97,15.99,1.44,-1.038,128.5,8.8,287.74,26
081023,Vita,Trapani,TP,16.524259868421055,543.3953947368421,684.2180921052632,0.296,-5.3,0.0,0.4027,True,False,19.1,0.0015,True,0.0,0.393,0.0,True,-0.92,3.09,0.39,-0.933,48.7,8.8,55.56,7
081024,Petrosino,Trapani,TP,18.123812134502927,491.97441520467834,733.2368421052632,0.208,-10.6,0.0,0.0561,True,False,16.2,0.0018,True,0.0,0.255,0.0,True,-0.89,0.0,0.0,-0.889,0.0,0.0,0.0,0
081025,Misiliscemi,Trapani,TP,18.12857624831309,495.3484817813765,737.24504048583,0.241,-9.5,0.0,0.0914,True,False,20.0,0.0003,True,0.0,0.313,0.0,True,-0.98,0.0,0.0,-0.944,0.0,0.0,0.0,0
082001,Alia,-,PA,15.120072642543857,535.0430921052631,638.0741776315791,0.268,2.7,0.0,0.6469,True,False,6.5,0.258,False,0.0,0.336,0.0,True,-0.11,59.62,2.28,-0.315,207.4,16.9,1073.1200000000001,41
082002,Alimena,-,PA,15.328490497076018,521.8941885964913,661.0923245614035,0.252,2.5,0.0,0.6722,True,False,4.3,0.4622,False,0.0,0.297,0.0,True,0.02,33.98,0.67,-0.326,-135.3,-2.8,611.7,12
082003,Aliminusa,-,PA,15.98775584795323,520.6903508771929,668.1657894736841,0.237,1.8,0.0,0.7474,True,False,6.2,0.251,False,0.0,0.297,0.0,True,-0.08,56.66,1.5,-0.233,716.8,-18.5,1019.9399999999999,27
082004,Altavilla Milicia,-,PA,17.110974049707604,496.9991228070175,715.3984649122807,0.226,-0.3,0.0,0.9509,True,False,9.3,0.0732,False,0.0,0.293,0.0,True,-0.23,110.19,2.17,-0.355,-437.3,-13.2,1983.47,39
082005,Altofonte,-,PA,15.37474643640351,548.1865131578946,629.5595394736843,0.273,-0.4,0.0,0.9496,True,False,10.7,0.0528,False,0.0,0.354,0.0,True,-0.52,180.4,9.06,-0.308,1511.2,20.8,3247.21,163
082006,Bagheria,-,PA,18.183969298245618,474.53578947368413,771.6078947368421,0.223,-1.8,0.0,0.7164,True,False,11.2,0.0295,True,0.0,0.294,0.0,True,-0.11,15.65,2.11,-0.547,50.9,15.7,281.65999999999997,38
082007,Balestrate,-,PA,18.424698464912275,480.14605263157887,778.6338815789472,0.307,-3.9,0.0,0.4922,True,False,21.9,0.0008,True,0.0,0.409,0.0,True,-0.78,2.4,0.28,-0.726,63.5,4.2,43.25,5
